iter	Passed	Remaining
139	2337	31049
140	2352	31010
141	2368	30992
142	2384	30967
143	2400	30940
144	2414	30893
145	2429	30848
146	2445	30826
147	2459	30779
148	2476	30763
149	2491	30734
150	2507	30703
151	2523	30674
152	2538	30649
153	2553	30603
154	2569	30580
155	2584	30555
156	2600	30527
157	2616	30503
158	2632	30474
159	2649	30473
160	2665	30443
161	2680	30408
162	2697	30402
163	2712	30363
164	2728	30340
165	2742	30297
166	2758	30275
167	2773	30247
168	2789	30222
169	2804	30186
170	2821	30174
171	2837	30151
172	2852	30125
173	2867	30089
174	2882	30056
175	2897	30024
176	2915	30027
177	2929	29986
178	2946	29972
179	2960	29936
180	2976	29912
181	2993	29900
182	3007	29861
183	3023	29842
184	3038	29809
185	3055	29797
186	3070	29767
187	3085	29737
188	3100	29707
189	3115	29677
190	3131	29654
191	3146	29632
192	3162	29612
193	3180	29604
194	3197	29597
195	3215	29596
196	3230	29569
197	3246	29549
198	3263	29534
199	3279	29513
200	3297	29513
201	3313	29497
202	3332	29500
203	3348	29482
204	3364	29461
205	3381	29445
206	3394	29403
207	3410	29383
208	3426	29362
209	3442	29346
210	3457	29318
211	3476	29323
212	3491	29295
213	3507	29270
214	3522	29246
215	3539	29231
216	3555	29217
217	3572	29202
218	3587	29178
219	3604	29159
220	3622	29157
221	3639	29149
222	3656	29137
223	3672	29116
224	3689	29104
225	3704	29077
226	3718	29045
227	3734	29020
228	3748	28988
229	3762	28956
230	3778	28936
231	3795	28924
232	3811	28908
233	3827	28886
234	3843	28865
235	3856	28827
236	3870	28794
237	3887	28781
238	3902	28751
239	3916	28721
240	3932	28699
241	3946	28672
242	3960	28639
243	3976	28616
244	3990	28583
245	4004	28553
246	4021	28540
247	4036	28512
248	4051	28490
249	4066	28464
250	4081	28440
251	4095	28408
252	4110	28385
253	4125	28359
254	4140	28332
255	4155	28308
256	4170	28284
257	4185	28259
258	4203	28254
259	4218	28233
260	4232	28202
261	4247	28174
262	4261	28144
263	4275	28115
264	4293	28107
265	4308	28084
266	4323	28060
267	4338	28038
268	4354	28019
269	4369	27999
270	4384	27974
271	4401	27960
272	4418	27951
273	4433	27926
274	4448	27903
275	4463	27882
276	4480	27870
277	4499	27868
278	4515	27854
279	4530	27832
280	4546	27815
281	4561	27791
282	4576	27766
283	4590	27738
284	4607	27722
285	4621	27698
286	4636	27672
287	4651	27649
288	4667	27633
289	4683	27618
290	4699	27602
291	4717	27595
292	4731	27568
293	4748	27552
294	4764	27538
295	4780	27520
296	4794	27494
297	4809	27469
298	4824	27447
299	4840	27430
300	4855	27407
301	4869	27377
302	4882	27345
303	4896	27319
304	4910	27289
305	4924	27264
306	4937	27228
307	4951	27199
308	4964	27169
309	4979	27144
310	4994	27126
311	5010	27109
312	5025	27086
313	5040	27065
314	5054	27038
315	5069	27018
316	5083	26990
317	5097	26962
318	5112	26943
319	5127	26919
320	5141	26895
321	5157	26876
322	5172	26856
323	5187	26835
324	5202	26814
325	5218	26794
326	5234	26781
327	5248	26753
328	5262	26728
329	5276	26700
330	5291	26680
331	5304	26651
332	5319	26628
333	5334	26607
334	5348	26584
335	5363	26559
336	5377	26535
337	5392	26513
338	5407	26494
339	5421	26469
340	5437	26454
341	5452	26433
342	5468	26416
343	5481	26389
344	5497	26370
345	5512	26353
346	5529	26338
347	5546	26328
348	5560	26303
349	5574	26278
350	5589	26259
351	5604	26239
352	5620	26223
353	5637	26210
354	5651	26189
355	5667	26174
356	5682	26154
357	5696	26126
358	5711	26106
359	5724	26079
360	5740	26064
361	5755	26043
362	5770	26021
363	5783	25993
364	5796	25964
365	5811	25945
366	5825	25922
367	5841	25903
368	5857	25889
369	5873	25877
370	5889	25860
371	5907	25853
372	5925	25845
373	5943	25838
374	5958	25820
375	5975	25808
376	5992	25796
377	6006	25775
378	6022	25758
379	6037	25736
380	6051	25714
381	6068	25703
382	6082	25679
383	6095	25652
384	6110	25632
385	6125	25614
386	6140	25591
387	6154	25571
388	6170	25553
389	6185	25535
390	6199	25512
391	6214	25490
392	6228	25468
393	6242	25444
394	6256	25423
395	6272	25407
396	6287	25386
397	6300	25362
398	6317	25348
399	6332	25331
400	6347	25312
401	6362	25289
402	6375	25266
403	6390	25245
404	6404	25221
